References,Qty,Description,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
C1 C2,2,10 µF Capacitor,Samsung,CL21B106KPQNNNE,1276-1764-6-ND,,,,3013487
C3 C4 C5 C10 C11 C12,6,1 µF Capacitor,Samsung,CL21B105KPFNNNE,1276-1275-1-ND,,,,
C7 C8 C13 C14 C15 C16,6,10 µF Capacitor - 25V rated,Taiyo Yuden,TMK212BBJ106KG-T,587-2985-6-ND,963TMK212BBJ106KGT,,,2095441
C9,1,4.7 µF Capacitor - 25V rated,Samsung,CL21A475KAQNNNE,1276-1244-6-ND,,,,3013462
C6,1,100 µF Capacitor,Samsung,CL32A107MQVNNNE,1276-1092-1-ND,,7661166P,,3010208
L1,1,10µH Inductor,Vishay,IFSC1515AHER100M01,541-1406-6-ND,70IFSC1515AHER100M0,,,2352696
R1 R2,2,1KO Resistor,Stackpole Electronics,RNCP0805FTD1K00,RNCP0805FTD1K00CT-ND,,,,
R3 R4 R6 R7,4,10KO Resistor,Stackpole Electronics,RNCP0805FTD10K0,RNCP0805FTD10K0CT-ND,,,,
R8 R9,2,100O Resistor,Yageo,RC0805FR-07100RL,311-100CRCT-ND,603RC0805FR07100RL,6185135,,2459312
R5,1,0.47O Resistor,CTS Components,73L3R47J,73L3R47JCT-ND,77473L3R47J,1791263,,
FB1 FB2,2,Ferrite Bead,TDK,MMZ2012R102AT000,445-1555-1-ND,810MMZ2012R102AT000,,,2146269
D1 D2,2,3.6V Zener Diode,MCC,MMSZ4685-TP,MMSZ4685-TPMSCT-ND,833MMSZ4685TP,,,1924402
D3 D4 D5,3,30V Schottky Diode,ON Semiconductor,MBR0530,MBR0530DKR-ND,512MBR0530,7613662P,,2463401
Q1,1,N-Channel MOSFET,Infineon,IRLML0100TRPBF,IRLML0100TRPBFDKR-ND,942IRLML0100TRPBF,7259350,,1783928
IC1,1,MCP23008 GPIO Expander,Microchip,MCP23008T-E/SO,MCP23008T-E/SODKR-ND,579MCP23008TE/SO,1773187,,2851556
IC2,1,32KB SRAM Chip,Microchip,23K256T-I/SN,23K256T-I/SNCT-ND,57923K256TI/SN,,,2920682
IC3,1,2MB NOR Flash Chip,GigaDevice,GD25Q16CTIGR,1970-1010-1-ND,,,,
A1 A2 ports,2,3-position JST-PH connector,JST,S3B-PH-SM4-TB(LF)(SN),455-1750-1-ND,,6881357,,9492623
I2C port,1,4-position JST-PH connector,JST,S4B-PH-SM4-TB(LF)(SN),455-1751-1-ND,,6881366,,9492631
24-position FFC connector,1,,Amphenol,SFV24R-4STBE1HLF,609-5202-1-ND,649SFV24R4STBE1HLF,,,
Right angle surface mount buttons,4,,E-Switch,TL3330AF130QG,EG4388CT-ND,612TL3330AF130QG,,,2522276
Thru-hole buttons,7,,E-Switch,TL1107AF130WQ,EG2510-ND,612TL1107AF130W,,,2830645
SW1,1,SPDT switch,TE Connectivity,1825232-1,A107673-ND,65518252321,,,2772069
J1,1,Headphone Jack,CUI,MJ-3502N,CP-3502N-ND,490MJ3502N,,,
Adafruit Feather M4 Express,1,,Adafruit Industries,3857,1528-2648-ND,4853857,,,
MICROSD,1,MicroSD Socket,Molex,47334-0001,WM3288CT-ND,538473340001,7206000,,2668481
