References,Qty,Description,MPN,Digikey
R1 R2,2,RES 1K OHM 1% 1/4W 0805,RNCP0805FTD1K00,RNCP0805FTD1K00CT-ND
R3 R4 R6 R7 R10 R11 R12 R13,8,RES 10K OHM 1% 1/4W 0805,RNCP0805FTD10K0,RNCP0805FTD10K0CT-ND
R5,1,RES 0.47 OHM 1% 1/3W 0805,RL1220S-R47-F,RL12S.47FCT-ND
R8 R9,2,RES 100 OHM 1% 1/4W 0805,RNCP0805FTD100R,RNCP0805FTD100RCT-ND
C1 C2,2,CAP CER 10UF 10V X5R 0805,CL21A106KPFNNNE,1276-1052-1-ND
C3 C4 C5 C7 C8 C10 C11 C12 C13 C14 C15 C16,12,CAP CER 1UF 25V X7R 0805,CL21B105KAFNNNE,1276-1066-1-ND
C6,1,CAP CER 100UF 6.3V X5R 1210,JMK325ABJ107MM-P,587-4313-1-ND
C9,1,CAP CER 4.7UF 25V X7R 0805,TMK212AB7475KG-T,587-2990-1-ND
FB1 FB2,2,FERRITE BEAD 1 KOHM 0805 1LN,MMZ2012R102AT000,445-1555-1-ND
D1 D2,2,DIODE ZENER 3.6V 500MW SOD123,MMSZ4685-TP,MMSZ4685-TPMSCT-ND
D3 D4 D5,3,DIODE SCHOTTKY 30V 500MA SOD123,MBR0530T1G,MBR0530T1GOSCT-ND
L1,1,FIXED IND 10UH 1.3A 170 MOHM SMD,IFSC1515AHER100M01,541-1406-1-ND
Q1,1,MOSFET N-CH 100V 1.6A SOT-23-3,IRLML0100TRPBF,IRLML0100TRPBFCT-ND
IC1,1,IC I/O EXPANDER I2C 8B 18SOIC,MCP23008T-E/SO,MCP23008T-E/SOCT-ND
IC2,1,IC SRAM 256K SPI 20MHZ 8SOIC,23K256-I/SN,23K256-I/SN-ND
IC3,1,NOR FLASH,GD25Q16CTIGR,1970-1010-1-ND
BTN_LOCK BTN_RESET,2,SWITCH TACTILE SPST-NO 0.05A 50V,KSS231GLFS,401-1098-1-ND
Optional: DNP_NEXT_ALT DNP_PREV_ALT,2,SWITCH TACTILE SPST-NO 0.05A 12V,TL3330AF130QG,EG4388CT-ND
MICROSD,1,CONN MICRO SD CARD PUSH-PUSH R/A,5025700893,WM19093CT-ND
"J1 (bottom right, near FB1)",1,CONN JACK 4COND 3.5MM SMD R/A,SJ-43514-SMT-TR,CP-43514SJCT-ND
I2C,1,CONN HEADER SMD R/A 4POS 2MM,S4B-PH-SM4-TB(LF)(SN),455-1751-1-ND
A1_PORT A2_PORT,2,CONN HEADER SMD R/A 3POS 2MM,S3B-PH-SM4-TB(LF)(SN),455-1750-1-ND
Top feather header,1,CONN RCPT 24POS 0.1 GOLD SMD,89898-312LF,609-3046-ND
Bottom feather header,1,CONN RCPT 32POS 0.1 GOLD SMD,89898-316LF,609-3050-ND
BTN_PREV BTN_NEXT BTN_UP BTN_DOWN BTN_LEFT BTN_RIGHT BTN_SEL,7,SWITCH TACTILE SPST-NO 0.05A 12V,TL1107AF130WQ,EG2510-ND
SW1,1,SWITCH SLIDE SPDT 200MA 30V,1825232-1,A107673-ND
Flex connector (note: usually Good Display includes a better one),1,CONN FPC TOP 24POS 0.50MM R/A,SFV24R-4STBE1HLF,609-5202-1-ND
Adafruit Feather M4 Express,1,FEATHER M4 EXPRESS ATSAMD51J19,3857,1528-2648-ND
E-Paper Display,1,4.2 inch e-ink panel: https://zh-tw.buyepaper.com/42inch-e-ink-panel-spi-interface-buy-e-paper-display-p0085.html,GDEW042T2,
